model,window,run,partitions
sbm,10,001,11
sbm,10,002,14
sbm,10,003,8
sbm,10,004,8
sbm,20,001,5
sbm,20,002,7
sbm,20,003,6
sbm,20,004,6
sbm,40,001,7
sbm,40,002,11
sbm,40,003,9
sbm,40,004,12
sbm,5,001,10
sbm,5,002,4
sbm,5,003,3
sbm,5,004,5
sbm,full,001,17
sbm,full,002,7
sbm,full,003,35
sbm,full,004,12
w2v,10,001,10
w2v,10,002,10
w2v,10,003,10
w2v,10,004,10
w2v,20,001,10
w2v,20,002,10
w2v,20,003,10
w2v,20,004,10
w2v,40,001,10
w2v,40,002,10
w2v,40,003,10
w2v,40,004,10
w2v,5,001,10
w2v,5,002,10
w2v,5,003,10
w2v,5,004,10
w2v,full,001,10
w2v,full,002,10
w2v,full,003,10
w2v,full,004,10
