model,window,run,partitions
sbm,10,001,310
sbm,10,002,87
sbm,10,003,329
sbm,10,004,284
sbm,10,005,314
sbm,10,006,308
sbm,10,007,333
sbm,10,008,300
sbm,10,009,279
sbm,10,010,253
sbm,20,001,443
sbm,20,002,403
sbm,20,003,437
sbm,20,004,435
sbm,20,005,456
sbm,20,006,430
sbm,20,007,412
sbm,20,008,445
sbm,20,009,438
sbm,20,010,392
sbm,40,001,464
sbm,40,002,504
sbm,40,003,559
sbm,40,004,589
sbm,40,005,525
sbm,40,006,624
sbm,40,007,512
sbm,40,008,549
sbm,40,009,571
sbm,40,010,551
sbm,5,001,64
sbm,5,002,57
sbm,5,003,64
sbm,5,004,62
sbm,5,005,72
sbm,5,006,45
sbm,5,007,43
sbm,5,008,38
sbm,5,009,65
sbm,5,010,45
sbm,50,001,565
sbm,50,002,593
sbm,50,003,584
sbm,50,004,539
sbm,50,005,646
sbm,50,006,512
sbm,50,007,602
sbm,50,008,577
sbm,50,009,619
sbm,50,010,623
sbm,full,001,756
sbm,full,002,626
sbm,full,003,723
sbm,full,004,665
sbm,full,005,745
sbm,full,006,676
sbm,full,007,666
sbm,full,008,659
sbm,full,009,723
sbm,full,010,672
w2v,10,001,310
w2v,10,002,87
w2v,10,003,329
w2v,10,004,284
w2v,10,005,314
w2v,10,006,308
w2v,10,007,333
w2v,10,008,300
w2v,10,009,279
w2v,10,010,253
w2v,20,001,443
w2v,20,002,403
w2v,20,003,437
w2v,20,004,435
w2v,20,005,456
w2v,20,006,430
w2v,20,007,412
w2v,20,008,445
w2v,20,009,438
w2v,20,010,392
w2v,40,001,464
w2v,40,002,504
w2v,40,003,559
w2v,40,004,589
w2v,40,005,525
w2v,40,006,624
w2v,40,007,512
w2v,40,008,549
w2v,40,009,571
w2v,40,010,551
w2v,5,001,64
w2v,5,002,57
w2v,5,003,64
w2v,5,004,62
w2v,5,005,72
w2v,5,006,45
w2v,5,007,43
w2v,5,008,38
w2v,5,009,65
w2v,5,010,45
w2v,50,001,565
w2v,50,002,593
w2v,50,003,584
w2v,50,004,539
w2v,50,005,646
w2v,50,006,512
w2v,50,007,602
w2v,50,008,577
w2v,50,009,619
w2v,50,010,623
w2v,full,001,756
w2v,full,002,626
w2v,full,003,723
w2v,full,004,665
w2v,full,005,745
w2v,full,006,676
w2v,full,007,666
w2v,full,008,659
w2v,full,009,723
w2v,full,010,672
