model,window,run,partitions
sbm,10,001,271
sbm,10,002,169
sbm,10,003,282
sbm,10,004,297
sbm,10,005,276
sbm,10,006,284
sbm,10,007,318
sbm,10,008,315
sbm,10,009,282
sbm,10,010,279
sbm,20,001,371
sbm,20,002,370
sbm,20,003,361
sbm,20,004,373
sbm,20,005,387
sbm,20,006,380
sbm,20,007,373
sbm,20,008,398
sbm,20,009,327
sbm,20,010,403
sbm,40,001,379
sbm,40,002,424
sbm,40,003,429
sbm,40,004,420
sbm,40,005,445
sbm,40,006,460
sbm,40,007,419
sbm,40,008,433
sbm,40,009,432
sbm,40,010,418
sbm,5,001,46
sbm,5,002,82
sbm,5,003,50
sbm,5,004,51
sbm,5,005,59
sbm,5,006,43
sbm,5,007,54
sbm,5,008,62
sbm,5,009,44
sbm,5,010,50
sbm,full,001,42
sbm,full,002,37
sbm,full,003,32
sbm,full,004,30
sbm,full,005,39
sbm,full,006,36
sbm,full,007,32
sbm,full,008,36
sbm,full,009,42
sbm,full,010,29
w2v,10,001,271
w2v,10,002,169
w2v,10,003,282
w2v,10,004,297
w2v,10,005,276
w2v,10,006,284
w2v,10,007,318
w2v,10,008,315
w2v,10,009,282
w2v,10,010,279
w2v,20,001,371
w2v,20,002,370
w2v,20,003,361
w2v,20,004,373
w2v,20,005,387
w2v,20,006,380
w2v,20,007,373
w2v,20,008,398
w2v,20,009,327
w2v,20,010,403
w2v,40,001,379
w2v,40,002,424
w2v,40,003,429
w2v,40,004,420
w2v,40,005,445
w2v,40,006,460
w2v,40,007,419
w2v,40,008,433
w2v,40,009,432
w2v,40,010,418
w2v,5,001,46
w2v,5,002,82
w2v,5,003,50
w2v,5,004,51
w2v,5,005,59
w2v,5,006,43
w2v,5,007,54
w2v,5,008,62
w2v,5,009,44
w2v,5,010,50
w2v,full,001,42
w2v,full,002,37
w2v,full,003,32
w2v,full,004,30
w2v,full,005,39
w2v,full,006,36
w2v,full,007,32
w2v,full,008,36
w2v,full,009,42
w2v,full,010,29
